bright_mc_no_apogee_skies_3x1_v2;3;{0.,0.,0.};{1.,1.,1.};{0.,0.,0.};{0.,0.,0.};{1,1,1};{0.5,0.5,0.5};{"bright_mc_no_apogee_skies","bright_mc_no_apogee_skies"," bright_mc_no_apogee_skies"};bright_mc_no_apogee_skies_3x1;_v2 
bright_flexible_no_apogee_skies_17x1_v2;17;{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.,1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.,-1.};{1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1};{0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2};{"bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies","bright_time_no_apogee_skies"," bright_time_no_apogee_skies"};bright_flexible_no_apogee_skies_17x1;_v2 
dark_no_apogee_skies_1x1_v2;1;{0.};{0.35};{0.};{0.};{1};{0.2};{"dark_plane_no_apogee_skies"};dark_no_apogee_skies_1x1;_v2 
dark_no_apogee_skies_1x2_v2;1;{0.};{0.35};{0.};{0.};{2};{7.};{"dark_plane_no_apogee_skies"};dark_no_apogee_skies_1x2;_v2 
dark_no_apogee_skies_1x3_v2;1;{0.};{0.35};{0.};{0.};{3};{14.};{"dark_faint_no_apogee_skies"};dark_no_apogee_skies_1x3;_v2 
dark_no_apogee_skies_1x4_v2;1;{0.};{0.35};{0.};{0.};{4};{14.};{"dark_faint_no_apogee_skies"};dark_no_apogee_skies_1x4;_v2 
dark_no_apogee_skies_2x1_v2;2;{0.,3.};{0.35,0.35};{0.,1800.};{0. ,0.5};{1,1};{0.2,0.2};{"dark_plane_no_apogee_skies","dark_plane_no_apogee_skies"};dark_no_apogee_skies_2x1;_v2 
dark_no_apogee_skies_2x2_v2;2;{0.,3.};{0.35,0.35};{0.,14.};{0. ,0.5};{2,2};{0.2,0.2};{"dark_faint_no_apogee_skies","dark_faint_no_apogee_skies"};dark_no_apogee_skies_2x2;_v2 
dark_no_apogee_skies_2x4_v2;2;{0.,365.};{0.35,0.35};{0.,1800.};{0.,300.};{4,4};{14.,14.};{"dark_monit_no_apogee_skies","dark_monit_no_apogee_skies"};dark_no_apogee_skies_2x4;_v2 
dark_no_apogee_skies_3x4_v2;3;{0.,365.,365.};{0.35,0.35,0.35};{0.,600.,600.};{0.,300.,300.};{4,4,4};{14.,14.,14.};{"dark_monit_no_apogee_skies","dark_monit_no_apogee_skies"," dark_monit_no_apogee_skies"};dark_no_apogee_skies_3x4;_v2 
